property_type_en,rooms_en,reg_type_en,area_name_en,median_price_sqft,transaction_count,growth_2023_to_2024,recent_growth,growth_score,price_score,volume_score,investment_score
Villa,4 B/R,Off-Plan Properties,Hadaeq Sheikh Mohammed Bin Rashid,973.8930694908956,1185,-37.58824296113341,-37.58824296113341,13.903728337635666,89.70434845049272,14.23590236864254,35.319976343930584
Villa,2 B/R,Off-Plan Properties,Nad Al Shiba First,2353.075994054255,11,,,38.972589541993,65.19842677381541,0.12023566189731874,35.17261098132129
Villa,7 B/R,Off-Plan Properties,Wadi Al Safa 3,2439.547565960609,1,,,38.972589541993,63.66196229861379,0.0,34.68762450638134
Villa,5 B/R,Existing Properties,Island 2,2776.2207357859534,13,23.91375741411568,23.91375741411568,43.3718988772788,57.67980707943529,0.1442827942767825,34.681558233597464
Villa,3 B/R,Off-Plan Properties,Nad Al Shiba First,2141.11668524712,448,-0.7712734109472152,-0.7712734109472152,31.544272236015182,68.96461190253194,5.374534086810148,34.38199928252768
Villa,4 B/R,Off-Plan Properties,World Islands,2542.236157562245,11,,,38.972589541993,61.83734676860736,0.12023566189731874,34.16428697975888
Villa,7 B/R,Off-Plan Properties,Palm Jumeirah,2633.028613898179,5,,,38.972589541993,60.22410694075352,0.048094264758927495,33.665886751975044
Villa,5 B/R,Off-Plan Properties,Island 2,2704.493682645857,16,,,38.972589541993,58.95428453637347,0.18035349284597813,33.31139187627844
Villa,3 B/R,Off-Plan Properties,Me'Aisem First,2478.736529171312,143,5.390741792798082,5.390741792798082,34.49675042833292,62.965635766485555,1.7073463989419262,33.02986018106722
Villa,6 B/R,Off-Plan Properties,World Islands,2143.151709401709,19,-2.5759908103645146,-2.5759908103645146,30.67955694582289,68.92845270881347,0.21642419141517374,32.99364342925623
Villa,4 B/R,Existing Properties,Al Thanyah Fifth,1409.302303976217,61,-23.98305512175588,-23.98305512175588,20.422540620626098,81.96780791800505,0.7214139713839125,32.90364141792874
Villa,5 B/R,Existing Properties,Wadi Al Safa 7,534.1778149386846,24,-48.3454904901493,-48.3454904901493,8.749482901908875,97.51740021917539,0.27654202236383313,32.81032163098893
Villa,4 B/R,Off-Plan Properties,Al Merkadh,2857.0877461910068,7,,,38.972589541993,56.242926889056854,0.07214139713839125,32.47634216294193
Villa,3 B/R,Existing Properties,Al Barsha South Fifth,808.9223337049424,19,-45.18993079689342,-45.18993079689342,10.261443010873244,92.63562018980481,0.21642419141517374,31.938548099573776
Villa,6 B/R,Off-Plan Properties,Me'Aisem First,3532.556205871424,35,25.69437257910605,25.69437257910605,44.225065782863346,44.240909699614974,0.4088012504508837,31.044059473120008
Villa,6 B/R,Off-Plan Properties,Palm Jumeirah,3722.4001300631735,17,16.955644693738805,16.955644693738805,40.03797719949474,40.86768033737576,0.19237705903570998,28.313970392817765
Villa,6 B/R,Off-Plan Properties,Wadi Al Safa 3,3745.336306205872,23,7.452074131195197,7.452074131195197,35.484420626312584,40.46014039027745,0.26451845617410125,26.38471405884309
Villa,3 B/R,Existing Properties,Island 2,4731.001486436269,32,32.88189374816402,32.88189374816402,47.66890660551623,22.946413040585,0.37273055188168813,26.026032664758333
Villa,2 B/R,Off-Plan Properties,World Islands,4099.6841322928285,1,,,38.972589541993,34.16393419621005,0.0,25.838216075660217
Villa,4 B/R,Existing Properties,Palm Jumeirah,2660.153288740245,75,-29.00614245114788,-29.00614245114788,18.015770220396746,59.742143928199944,0.8897438980401587,25.306900046226712
Villa,5 B/R,Off-Plan Properties,Me'Aisem First,3779.888052768488,5,-1.4196784144699603,-1.4196784144699603,31.23359438641705,39.84620993915623,0.048094264758927495,24.456919589265475
Villa,5 B/R,Off-Plan Properties,Wadi Al Safa 3,2388.700297287254,179,-49.86267000812595,-49.86267000812595,8.022538989479939,64.56543866957936,2.1401947817722737,23.00668615302024
Villa,7 B/R,Existing Properties,Palm Jumeirah,2752.625418060201,21,-66.60623389098316,-66.60623389098316,0.0,58.09905894068254,0.24047132379463748,17.477811946963687
Villa,6 B/R,Existing Properties,Palm Jumeirah,6022.415923448532,2,,,38.972589541993,0.0,0.012023566189731874,15.591440530035149
Villa,5 B/R,Existing Properties,Palm Jumeirah,5626.8938127090305,25,-22.236984729636934,-22.236984729636934,21.25915568640028,7.027808780510341,0.288565588553565,10.669718026423928
